,Reviews,Summary
78,"[[-0.25447184 -0.2090122  -0.1241708  ...  0.3901469   0.5852492
  -0.07994234]
 [ 0.0536312   0.07030094 -0.05934244 ... -0.20397995  0.2278186
  -0.01999166]
 [ 0.22409093  0.03666648  0.03142878 ...  0.18408675  0.3076007
   0.1675611 ]
 [-0.11571539 -0.2141396  -0.05358809 ...  0.15069497  0.6373381
  -0.11134715]
 [ 0.14101434  0.36943144  0.09069657 ...  0.18517935  0.08620277
   0.11644638]]","Кофемашина компактная и быстро нагревается, но требует частой очистки и дорогих капсул."
79,"[[ 0.0331827   0.26859328  0.07758261 ...  0.04069485 -0.17214328
   0.36991274]
 [ 0.00184732  0.06891114  0.03804239 ... -0.03726058  0.35335258
   0.17607944]
 [ 0.0685264  -0.00329512  0.08751937 ...  0.08360682  0.3660278
   0.01415628]
 [-0.02371323  0.25815302 -0.16070104 ... -0.27402034  0.3734116
   0.04748397]
 [-0.10337089 -0.00256081 -0.01610642 ... -0.17840557  0.22205742
   0.07880806]]","Флешка с большой памятью и надёжностью, но с медленной записью и нагревающимся корпусом."
80,"[[-0.02581814  0.24612421 -0.08908351 ...  0.06029892  0.01675521
   0.1507102 ]
 [ 0.25318092 -0.02795326 -0.01329118 ...  0.26934895  0.19365577
   0.174379  ]
 [ 0.32622653  0.16774124  0.11177617 ... -0.01990196  0.10621149
   0.19411954]
 [ 0.07441105 -0.00229796  0.08379184 ...  0.01365837  0.306771
  -0.00312693]
 [-0.12708592  0.5673593   0.26835823 ...  0.01031109 -0.02812866
   0.05847364]]","Микроволновка быстро разогревает и имеет несколько режимов, но шумит и мало места внутри."
81,"[[ 0.24903095  0.21405411 -0.1471509  ...  0.03071103  0.188125
   0.20528138]
 [-0.18456331  0.34078383  0.25854865 ...  0.0461321   0.13448822
   0.11803647]
 [ 0.4475755   0.1133687  -0.09563985 ...  0.21268825  0.06064276
   0.17339815]
 [-0.21260698  0.23325653  0.06841064 ... -0.05961217  0.39449728
   0.30874124]
 [-0.02896257 -0.00507181 -0.01508983 ... -0.03059111  0.35586476
   0.06701129]]","Холодильник хорошо охлаждает и экономит энергию, но мотор громкий и полки хрупкие."
82,"[[ 0.06209824  0.20214002 -0.03437169 ... -0.2798281   0.00268228
   0.11801916]
 [-0.10979345  0.15877295  0.1614945  ...  0.16043933  0.31791127
   0.1805654 ]
 [ 0.0697909   0.03269751 -0.02681583 ... -0.24053608  0.12685642
   0.10701428]
 [-0.07651291  0.07506998  0.00270304 ... -0.16569018  0.4036285
   0.1456826 ]
 [ 0.0964442   0.02572195  0.14863446 ...  0.23741458  0.469252
   0.08536398]]","Пылесос с высокой мощностью и эффективностью, но тяжелый и шумный."
83,"[[ 0.04464611  0.03240831  0.01912727 ...  0.15480246  0.35249236
   0.13866475]
 [-0.08045227 -0.13708748  0.18153189 ...  0.03840777  0.54852533
   0.20555317]
 [-0.10928822 -0.2836801   0.1441262  ...  0.02390723  0.28926957
   0.06774486]
 [ 0.2053051   0.14663495  0.01185016 ... -0.03489672  0.20929973
   0.2224001 ]
 [ 0.06633113  0.05435601  0.00862575 ...  0.09940075  0.30365774
   0.08776193]]","Блендер мощный и легко моется, но шумный и слабо справляется с твердыми продуктами."
84,"[[ 0.05615562  0.08055446  0.22457951 ...  0.12777106  0.21931882
   0.04393719]
 [ 0.17909518  0.31857017 -0.0735212  ... -0.0849065   0.14410754
   0.20791017]
 [-0.09513491  0.33466405  0.13261522 ... -0.08917932 -0.2361883
   0.04031099]
 [-0.06473027  0.02240098  0.02093171 ... -0.3190777   0.32979214
   0.09123004]
 [-0.02920859 -0.07540054 -0.04992019 ... -0.2586934   0.23973228
   0.00118009]]","Фен с быстрым высушиванием и множеством режимов, но шумный и нагревающийся корпус."
85,"[[-0.01205341  0.07939631  0.04611179 ... -0.33052853  0.31354177
   0.17699794]
 [ 0.03187499 -0.12425083  0.04106213 ... -0.01847341  0.39478722
   0.15043037]
 [-0.02932755  0.12507673  0.14862427 ... -0.0264668   0.20967363
   0.19714871]
 [-0.2632828   0.4388791  -0.08381104 ...  0.23880368  0.3202511
   0.2660652 ]
 [-0.03102639 -0.01961733  0.15304172 ...  0.3080263   0.07669528
   0.13103628]]","Утюг с хорошим паровым ударом и автоотключением, но тяжёлый и с коротким проводом."
86,"[[-0.04680937  0.235407   -0.1453174  ...  0.23638439  0.20377852
  -0.02046257]
 [ 0.08356464  0.00723115 -0.06065681 ... -0.06443595  0.267107
   0.08567083]
 [-0.05950844  0.25081694 -0.00148847 ...  0.2885888   0.52694476
   0.23715937]
 [-0.1636013   0.27017772  0.1416244  ...  0.0144618   0.2885874
   0.22558908]
 [-0.11321557 -0.07056659  0.13147299 ...  0.30959165  0.02503874
   0.03768831]]","Электрический чайник с быстрым кипячением и автоотключением, но нагревающимся корпусом."
87,"[[ 0.119258    0.05005078  0.0886623  ...  0.0181767   0.18859386
   0.14150016]
 [ 0.18669668 -0.04846185  0.06483278 ... -0.03135013  0.34451926
  -0.02814634]
 [-0.07025224  0.06056621  0.04806581 ... -0.0850445   0.5026268
   0.19871418]
 [ 0.34482232 -0.01570194 -0.06610669 ...  0.28488696  0.38263023
   0.05778064]
 [-0.05331138  0.04670615 -0.04937276 ...  0.19062756  0.1450218
   0.32558915]]","Стиральная машина с хорошей стиркой и экономией воды, но шумная и с вибрацией при отжиме."
88,"[[-0.17123598  0.53832936 -0.10850608 ... -0.03768958  0.14755926
  -0.01791177]
 [ 0.05463514  0.0948699  -0.06379601 ... -0.28587914  0.2662489
  -0.00523263]
 [-0.00845564  0.00893988  0.02770051 ...  0.19152182  0.32448062
   0.31046414]
 [ 0.36963114 -0.08615648  0.18214312 ... -0.04965306  0.15084991
   0.15944032]
 [ 0.00355763  0.20387994  0.12668651 ...  0.19590777 -0.02632912
   0.18649997]]","Электросамокат с быстрой ездой и хорошей амортизацией, но слабой батареей и тормозами."
89,"[[ 0.15387133  0.19759476 -0.05945636 ... -0.27668107  0.1866766
   0.00752537]
 [-0.13594042  0.07095077 -0.07650765 ... -0.3014304   0.48204014
   0.34387144]
 [-0.02249317  0.11542887  0.06352319 ... -0.27892053  0.29599953
   0.07174359]
 [ 0.12306575  0.05563651  0.09662118 ... -0.00465109  0.2572212
   0.02638398]
 [-0.13812958  0.47317576 -0.0834422  ...  0.01426692  0.01019313
   0.20962764]]","Гриль с хорошей жаркой и антипригарным покрытием, но тяжелый и долго нагревается."
90,"[[-0.23433527 -0.1518682  -0.15174437 ...  0.18830648  0.08914743
   0.07854318]
 [-0.12055397  0.5009311  -0.02286734 ...  0.00855691  0.04403906
   0.08274007]
 [ 0.03418346  0.10905604  0.05166269 ... -0.00378226  0.32005543
   0.18496192]
 [-0.14974958 -0.01269575 -0.08252959 ...  0.08103951  0.29820114
   0.28429928]
 [ 0.18409044 -0.16233386 -0.01439138 ...  0.1555028   0.3734011
  -0.04004658]]","Клавиатура удобная и с красивой подсветкой, но громкие кнопки и нестабильное подключение."
91,"[[ 0.00419687  0.1547998   0.11446554 ... -0.0534777   0.36613
   0.26000628]
 [-0.08011082  0.35091355 -0.10474617 ...  0.02249307  0.25365293
   0.1844994 ]
 [-0.17488034  0.3839167  -0.08285396 ... -0.01116796  0.19211048
  -0.06260969]
 [-0.31588823  0.10906798 -0.03021493 ... -0.07407862  0.15872778
   0.19906521]
 [-0.10296109  0.04459912 -0.05734725 ...  0.1300483   0.3027779
  -0.02845943]]","Мышь с удобной формой и стильным дизайном, но быстро разряжается и маркий корпус."
92,"[[ 0.10448933 -0.21570851  0.124248   ...  0.06827095  0.13534796
   0.02519654]
 [ 0.07207758  0.10238529 -0.10909262 ...  0.06033953  0.16185166
   0.14890878]
 [-0.11538451 -0.23516823  0.06360509 ...  0.22906286  0.41572335
  -0.16420954]
 [-0.18258934 -0.21497056  0.04094489 ...  0.05105366  0.2746955
   0.04404503]
 [-0.14279404  0.04160666  0.23900476 ... -0.03772601  0.15110618
   0.22895472]]","Телевизор с отличным изображением и смарт-функциями, но слабым звуком и сложным интерфейсом."
93,"[[-0.15951656  0.08175435  0.07466582 ... -0.00225804  0.15968211
   0.12442704]
 [ 0.16204764 -0.00133707  0.10781277 ...  0.1497626   0.2743942
  -0.06373746]
 [-0.13744394  0.7396698  -0.02308184 ...  0.00646356  0.15533046
  -0.09828994]
 [-0.04337992  0.10582113  0.02318884 ...  0.1681323   0.46529534
   0.04507133]
 [-0.06468044  0.03386607  0.1511508  ...  0.01963886  0.22503626
   0.14746603]]","Робот-пылесос с хорошей уборкой и автоматическим возвратом, но путается в проводах и не убирает углы."
94,"[[-0.26865864  0.5334037  -0.11524879 ... -0.07226434  0.15558255
   0.02273314]
 [-0.20489536  0.05313055 -0.01228642 ...  0.2957145   0.38353902
  -0.11004199]
 [-0.07458246  0.05465154  0.13387959 ...  0.43433264 -0.05601481
   0.04316121]
 [ 0.09951632  0.21784353 -0.17970817 ... -0.12471296  0.21627614
   0.16567431]
 [-0.03132065 -0.04045492 -0.2715278  ...  0.3324843   0.335159
   0.05102631]]","Умные часы с множеством функций и хорошим экраном, но слабой батареей и неинтуитивным приложением."
95,"[[ 0.08754793 -0.09510669  0.07102204 ... -0.05488718  0.2529523
   0.05014657]
 [ 0.05469467  0.11510583  0.07642818 ... -0.09875662  0.3360106
   0.1871737 ]
 [ 0.03048355  0.2018141   0.04070389 ...  0.15173753  0.33509418
   0.09650762]
 [ 0.12881945  0.2772148  -0.1831681  ... -0.08649689  0.06021998
  -0.0937774 ]
 [-0.3148371   0.4316013   0.10512789 ...  0.0708577   0.3425377
   0.15647033]]","Пауэрбанк с быстрой зарядкой и компактными размерами, но долго заряжается и корпус царапается."
96,"[[ 0.06752972  0.31020972 -0.01282452 ... -0.02507629  0.2487214
   0.05219286]
 [-0.20606679  0.5601706   0.00362159 ... -0.10383836  0.05198468
  -0.07357775]
 [-0.21092865 -0.20857078 -0.0123269  ...  0.17604765  0.15877426
   0.10914039]
 [ 0.04536342  0.10833973 -0.13198669 ... -0.14153846 -0.13406105
   0.06320287]
 [ 0.15399536  0.00440345 -0.07759941 ... -0.38014868  0.31356195
   0.03129144]]","Ноутбук с мощным процессором и ярким экраном, но шумным охлаждением и тяжёлым корпусом."
97,"[[-0.23772898  0.73796433  0.03125612 ... -0.1278837   0.29451323
   0.07582084]
 [-0.01686457  0.17544529 -0.01683307 ...  0.02696761 -0.03051053
   0.13333069]
 [-0.03583114 -0.20404112  0.03470927 ...  0.3435588   0.4487511
   0.05217961]
 [-0.03464816 -0.09779292  0.03697286 ...  0.00817136  0.1932314
  -0.00727337]
 [ 0.04119291  0.03291317  0.07913402 ...  0.00826684  0.17515182
   0.10708927]]","Планшет с хорошей производительностью и ярким экраном, но слабой батареей и малой памятью."
98,"[[ 0.23364964  0.10863601 -0.04734044 ...  0.07884859  0.1693679
   0.10778904]
 [-0.07063434 -0.1988729   0.0188421  ...  0.15312175  0.31172916
  -0.02702732]
 [-0.19620697  0.7792381  -0.09849332 ... -0.15797672  0.2796499
   0.02512588]
 [ 0.26242423 -0.07618109 -0.01355206 ...  0.23610058  0.2280887
   0.13413101]
 [-0.04310941  0.2334473   0.04213871 ... -0.09901057  0.39472404
   0.12736028]]","Колонка с громким звуком и быстрой связью, но слабым басом и нестабильным соединением."
99,"[[-0.1535909   0.13092805  0.10655313 ...  0.09056348  0.28159186
   0.42209312]
 [ 0.02650938  0.10185064 -0.23360308 ... -0.06320717 -0.10194297
   0.12160294]
 [ 0.01849155  0.03287122  0.04905514 ...  0.04970974  0.30353615
   0.17660557]
 [-0.05072868  0.13611832  0.14610437 ...  0.02604996  0.48778903
   0.02549345]
 [-0.23322663 -0.10529928  0.2507696  ...  0.07731704  0.46333605
   0.20651695]]","Флешка с быстрой передачей данных и большим объёмом, но хрупким корпусом и склонностью к нагреву."
100,"[[-0.23521627  0.6175728  -0.09313919 ... -0.13439031  0.03058682
  -0.02755899]
 [ 0.07470281  0.26436564  0.065826   ... -0.02926166 -0.12059631
   0.18517984]
 [ 0.18913582  0.05547595  0.01343683 ...  0.01721322  0.24609263
   0.09741331]
 [-0.15605481  0.3285142  -0.12968859 ... -0.0897096   0.24657793
   0.1545115 ]
 [ 0.20487212  0.16645052 -0.12460971 ... -0.34715572 -0.3591748
  -0.05293352]]","Смартфон с отличной камерой и производительностью, но слабой батареей и марким корпусом."
101,"[[-0.01205341  0.07939631  0.04611179 ... -0.33052853  0.31354177
   0.17699794]
 [-0.07175709  0.32595128  0.00153342 ...  0.02703553  0.1969287
   0.03532171]
 [-0.2632828   0.4388791  -0.08381104 ...  0.23880368  0.3202511
   0.2660652 ]
 [ 0.00566559  0.31094486  0.03328317 ...  0.10769109  0.47942176
   0.28053144]
 [-0.03652839  0.35329777  0.21626104 ... -0.1129656   0.08866812
  -0.08567441]]","Утюг с быстрой нагревкой и хорошим разглаживанием, но тяжёлый и с коротким проводом."
102,"[[ 0.08559509 -0.00276248  0.17698608 ...  0.03626717  0.24307857
   0.07967641]
 [ 0.00094411  0.11789165  0.20514911 ... -0.2136679   0.498716
   0.12341508]
 [ 0.10155334 -0.12954792  0.0014939  ... -0.07507421  0.30280605
  -0.17743638]
 [ 0.16707863 -0.12746768  0.01757278 ...  0.24623194  0.33074373
   0.13196786]
 [-0.20147914  0.065533    0.09146198 ... -0.2359186   0.48649144
   0.10591303]]","Стиральная машина с качественной стиркой и множеством программ, но шумная и долго сушит."
103,"[[ 4.0347911e-02  3.4312415e-01 -1.7160785e-01 ... -7.8649521e-02
  -2.1457484e-02  1.1458213e-01]
 [ 3.8014140e-02 -4.4173304e-02  4.8682537e-02 ...  3.5929003e-01
   1.7551868e-01  5.6993432e-02]
 [ 7.3519930e-02  2.4773996e-01  2.2766140e-01 ...  1.8952472e-02
   3.3340392e-01  2.0252964e-01]
 [-5.7382204e-02  2.5791815e-01  8.0186367e-02 ... -1.3815043e-02
   2.5081959e-01  1.6241385e-04]
 [ 1.7893760e-01 -7.0665996e-03 -1.1913788e-01 ...  2.1645805e-01
   2.7428359e-01  3.2272080e-01]]","Микроволновка с быстрым разогревом и интуитивным управлением, но маленьким объёмом и тусклым дисплеем."
104,"[[-0.04480742 -0.04337697  0.15888664 ...  0.04663282  0.2726045
   0.04890421]
 [-0.4318201   0.24073298 -0.18885043 ...  0.06447344 -0.05203426
   0.26772368]
 [-0.10547153  0.20427199  0.15573274 ...  0.15036619  0.318539
   0.01467719]
 [ 0.00918195 -0.07081404  0.03989273 ... -0.05097478  0.28970745
  -0.14726344]
 [ 0.01419059  0.01032823  0.07743401 ... -0.21593416  0.28556612
   0.03664041]]","Фен с быстрым высушиванием и лёгким корпусом, но шумный и с коротким шнуром."
105,"[[-0.19039842 -0.08018707  0.12999137 ... -0.10373094  0.36518902
   0.1029797 ]
 [-0.05330936  0.08033331  0.04761424 ... -0.00584635  0.3732817
   0.06380858]
 [ 0.06068685  0.02219925 -0.01024368 ... -0.4540628   0.1651891
  -0.04283879]
 [-0.09156961  0.05695771  0.03875612 ... -0.30641592  0.3087716
   0.10616597]
 [ 0.06222477  0.15861447 -0.08942842 ... -0.2080204   0.2302891
   0.20363283]]","Шампунь с хорошим очищением и приятным ароматом, но сушит кожу головы и плохо пенится."
106,"[[-0.22268452  0.09074675  0.05299132 ...  0.01463988  0.49727142
   0.04703049]
 [-0.00718521 -0.1447541   0.19521719 ...  0.11519604  0.3602191
   0.01679405]
 [ 0.02259976  0.05540576 -0.01925328 ... -0.15228637  0.39549556
   0.15847178]
 [ 0.2083972  -0.01560519 -0.0137112  ... -0.00680759  0.30139637
   0.11568248]
 [ 0.08914656  0.079372   -0.05071805 ... -0.2695225   0.22557397
   0.04000111]]","Зубная паста с приятным вкусом и хорошим эффектом, но слабо пенится и густая."
107,"[[-0.14854483  0.30919152  0.0760826  ... -0.06194845  0.0601556
   0.10250153]
 [-0.05731924 -0.05500198 -0.15332986 ...  0.20287356  0.21334225
  -0.21592854]
 [-0.24684806  0.11916482 -0.04087489 ...  0.2511193   0.06736819
  -0.04325129]
 [ 0.02584581  0.19044757 -0.01254838 ...  0.00279999  0.36607477
   0.13880056]
 [-0.20465754  0.77704436 -0.18609877 ... -0.3183489   0.16127147
  -0.13014796]]","Фитнес-браслет с точным шагомером и долгой батареей, но маленьким экраном и быстрым износом ремешка."
108,"[[ 0.04610205  0.11899477 -0.04486939 ... -0.17948832  0.04467612
   0.10947621]
 [ 0.07549461  0.0363539   0.25776923 ...  0.161806    0.32450998
   0.22719453]
 [-0.00060436  0.0549697  -0.00332878 ... -0.13978201  0.2912076
   0.17179014]
 [ 0.06955766 -0.00373375  0.06479634 ... -0.2497832   0.14860117
   0.08906846]
 [-0.16373467  0.18080673  0.03765714 ...  0.40020508  0.5599247
   0.0021174 ]]","Пылесос с мощной тягой и длинным шнуром, но шумный и тяжёлый в управлении."
109,"[[ 0.16547981  0.12400326 -0.19255707 ...  0.05116287  0.21232319
  -0.08102471]
 [ 0.2300152   0.11879076 -0.00206386 ...  0.3643853  -0.15454164
   0.10845959]
 [-0.06230021  0.12081004 -0.06665937 ...  0.15733272  0.12636897
   0.09805228]
 [-0.11760245  0.09354039  0.26954982 ...  0.04880134  0.47811463
   0.17416632]
 [-0.17824493  0.08657162  0.07289106 ... -0.11711399  0.1155443
  -0.16024216]]","Духовка с хорошей выпечкой и множеством режимов, но долго разогревается и шумный вентилятор."
110,"[[ 0.0901326   0.16372068 -0.10304201 ... -0.0155993   0.1610605
   0.15847114]
 [ 0.04551176 -0.03522788  0.0488773  ... -0.03605274  0.19411245
   0.11355123]
 [-0.19978088  0.27397913 -0.08992569 ... -0.24848622  0.13037348
   0.1266507 ]
 [ 0.30608705  0.00120772 -0.15878777 ...  0.15548865  0.08177675
   0.03364103]
 [-0.12227552  0.26226208  0.05528821 ...  0.06163213  0.4122814
   0.3749842 ]]","Холодильник с хорошим охлаждением и вместительностью, но шумный и с хрупкими полками."
111,"[[-0.01248107  0.16090433 -0.14150257 ...  0.30150145  0.3696866
   0.01376619]
 [ 0.2031405   0.13340813 -0.17509484 ... -0.15522225  0.12701969
   0.1885023 ]
 [ 0.00384672 -0.00822331  0.18556653 ...  0.32791725  0.05531577
   0.13429084]
 [-0.13475877  0.01299662  0.11453621 ... -0.18384102  0.46946198
   0.25187832]
 [ 0.01597183 -0.03586517  0.04050998 ... -0.25321615  0.19243601
   0.0526002 ]]","Чайник с быстрой кипячением и автоотключением, но нагревается корпус и крышка закрывается плохо."
112,"[[ 0.16059333  0.11357962 -0.15696038 ...  0.00287748  0.25307158
   0.16430078]
 [ 0.1474903  -0.07201932  0.02853616 ...  0.11194653  0.07811297
   0.08220433]
 [-0.20567599  0.5076689  -0.0093869  ... -0.04467244  0.27345127
  -0.03598432]
 [ 0.0541478   0.16769113 -0.04537217 ... -0.10804362  0.15370953
   0.25355688]
 [ 0.10251611 -0.15777163 -0.13030878 ...  0.18796325  0.2910354
  -0.00189315]]","Наушники с хорошим звуком и быстрой связью, но неудобны при длительном ношении и батарея быстро разряжается."
113,"[[-0.00462659  0.6843635   0.00842151 ... -0.20843318  0.32638517
  -0.16897637]
 [-0.07961194  0.01109821  0.22543383 ...  0.03814286  0.10859565
   0.09049812]
 [-0.12701763 -0.26093882 -0.0557011  ...  0.31536523  0.24744032
   0.13867296]
 [-0.06297165  0.17294721  0.0914709  ... -0.19303374  0.36170718
   0.09346464]
 [ 0.04757126  0.01404417 -0.14961188 ...  0.04632644 -0.00529051
   0.06551767]]","Ноутбук с мощным процессором и ярким экраном, но слабой батареей и склонностью к нагреву."
114,"[[-0.15264435  0.26595563 -0.00724839 ... -0.28347722  0.36138254
   0.26584843]
 [-0.02648163  0.19903184  0.16268687 ...  0.05608292  0.3576774
  -0.04482584]
 [ 0.06079222  0.03932399  0.15065987 ... -0.00858537  0.26198813
   0.18729824]
 [-0.00348014  0.03233056 -0.00810004 ...  0.02187318  0.29948306
   0.07522841]
 [ 0.10695158  0.0130565  -0.19742994 ... -0.18501565  0.31695265
   0.1984157 ]]","Фитнес-коврик с антискользящим покрытием и компактным размером, но тонкий и быстро изнашивается."
115,"[[ 0.01702989  0.28666332 -0.0324071  ...  0.17060772 -0.00800449
   0.03932552]
 [ 0.12153122  0.27577063 -0.05742282 ... -0.13766448 -0.01488634
   0.15373327]
 [-0.01166506  0.25198835 -0.13192606 ... -0.08293515  0.21146348
   0.12151347]
 [ 0.00830726  0.10910776  0.1600798  ... -0.2160461   0.35053065
   0.2126953 ]
 [ 0.00384672 -0.00822331  0.18556653 ...  0.32791725  0.05531577
   0.13429084]]","Электрочайник с быстрым нагревом и прочным корпусом, но шумный и с запахом пластика."
116,"[[-0.23033941  0.07643937  0.03842192 ...  0.31531516  0.31911743
   0.4470308 ]
 [ 0.15336947  0.12897052 -0.05553861 ... -0.07892957 -0.16198471
   0.00476744]
 [ 0.19239476  0.0999213   0.08222479 ... -0.02615072  0.2824321
   0.16246799]
 [-0.05806902  0.06325785  0.09229541 ... -0.12926807  0.411637
   0.11751655]
 [ 0.15342046  0.15320733  0.01602667 ... -0.0745035   0.1614953
   0.12800391]]","Флешка с быстрой передачей данных и большим объёмом, но склонна к нагреву и с хрупким корпусом."
117,"[[-0.12808485  0.17346832  0.15924597 ...  0.09814328  0.3363475
   0.155743  ]
 [-0.08343034  0.73255426 -0.11111998 ... -0.09016225  0.3033208
  -0.01950258]
 [ 0.33427116  0.04839334 -0.16120265 ... -0.044934   -0.06855508
  -0.1819459 ]
 [-0.10086267  0.08179683 -0.19698055 ... -0.14822112  0.01762241
   0.04588413]
 [-0.28204453 -0.33137798  0.23316576 ... -0.08982749  0.50431466
   0.09773649]]","Планшет с хорошим экраном и большим объёмом памяти, но слабой батареей и медленной реакцией."
118,"[[ 0.05013505  0.27243155 -0.226964   ... -0.16543151  0.23321965
   0.01827822]
 [-0.11972026  0.31790197 -0.09438104 ... -0.35991454  0.2870836
   0.0495549 ]
 [ 0.18609786  0.10184562 -0.22622977 ...  0.01360087  0.07355633
   0.13296066]
 [-0.14945635  0.06642884  0.02076802 ... -0.10746992  0.27282774
   0.19256188]
 [-0.09133273  0.4418589  -0.02531016 ...  0.13261776  0.18545367
  -0.01435153]]","Электросамокат с мощным двигателем и долгим зарядом, но тяжёлый и плохо амортизирует неровности."
119,"[[ 0.16290061  0.11965467 -0.0717063  ... -0.3620283   0.06547542
  -0.02473953]
 [-0.05427658  0.13205397  0.07189262 ... -0.08361128  0.30231327
   0.14895068]
 [ 0.01906464  0.0297017   0.02986085 ... -0.02080536  0.24864231
   0.17731895]
 [-0.21259329  0.6991587  -0.19495904 ... -0.05474497  0.12738939
   0.02520491]
 [-0.01862585  0.205838    0.07735481 ...  0.20179996  0.3339758
   0.17820737]]","Пауэрбанк с большим запасом энергии и быстрой зарядкой, но тяжёлый и с небольшим количеством портов."
120,"[[-0.04480742 -0.04337697  0.15888664 ...  0.04663282  0.2726045
   0.04890421]
 [-0.01204295  0.19946101  0.17445186 ...  0.10731597  0.3550516
  -0.18811207]
 [-0.29249817  0.1092651  -0.046168   ...  0.01975608  0.20079432
   0.19743182]
 [-0.18492097  0.44316113  0.08043992 ...  0.07507534  0.3931299
   0.22929642]
 [ 0.12107226 -0.02218539 -0.02752811 ...  0.08247798  0.26903018
  -0.18256314]]","Фен с быстрым высушиванием и функцией ионизации, но шумный и с неудобными кнопками."
121,"[[-0.3000994   0.5210167   0.05961118 ...  0.00651082  0.08017252
  -0.04069429]
 [ 0.1543664   0.21917261  0.15889743 ... -0.03768595 -0.37461266
   0.4039205 ]
 [ 0.02548574 -0.28378075  0.08435544 ...  0.2965379   0.15629028
  -0.25814626]
 [-0.17745402  0.0570106   0.03789495 ...  0.17733067  0.1337978
  -0.08313909]
 [-0.01189823 -0.01109073 -0.01280181 ... -0.15706441  0.39231142
   0.22881834]]","Смарт-часы с точным шагомером и множеством функций, но слабой батареей и сложным меню."
122,"[[-0.00144878  0.23877658 -0.03995007 ... -0.09401683 -0.08485568
   0.13996704]
 [ 0.11993232  0.12879227  0.11435282 ...  0.19539319  0.43870357
   0.0979205 ]
 [ 0.05175668 -0.03000503  0.01489138 ... -0.2562085   0.16663845
   0.09042472]
 [ 0.28651473 -0.01758735  0.138677   ...  0.23511764  0.42873347
   0.23704018]
 [-0.20513162  0.05332379  0.04799897 ...  0.47168463  0.47532678
  -0.09214454]]","Пылесос с мощной тягой и удобным контейнером, но шумный и склонен к перегреву."
123,"[[ 0.00539826  0.12908629 -0.23818462 ...  0.01684933  0.19758481
   0.08302367]
 [-0.13385813  0.01257397  0.03916959 ...  0.07655407  0.44238514
  -0.14083959]
 [-0.19037393  0.03077868  0.02651195 ...  0.14678946  0.02206838
   0.07423539]
 [ 0.09571382  0.15869333  0.08598715 ...  0.18350089  0.18740745
   0.17166345]
 [-0.0588716   0.21630807 -0.02747166 ... -0.01564854  0.35815144
   0.31595382]]","Микроволновка с быстрым разогревом и удобным управлением, но громкая и с маленькой камерой."
124,"[[-0.17041288  0.44706744 -0.14978953 ... -0.0977602   0.15851009
   0.06377675]
 [ 0.13193761  0.14050376 -0.03220012 ... -0.32557204  0.17260782
   0.07845312]
 [-0.15527065  0.02080905 -0.07777061 ...  0.32705715  0.22172514
   0.11314102]
 [-0.09133273  0.4418589  -0.02531016 ...  0.13261776  0.18545367
  -0.01435153]
 [-0.11918771  0.09054266  0.25537878 ... -0.05522542  0.3172624
   0.19617268]]","Гироскутер с хорошей скоростью и прочным корпусом, но тяжёлый и с быстрой разрядкой батареи."
125,"[[ 0.00588286  0.26577055  0.02119248 ... -0.35586375  0.14705743
   0.1231301 ]
 [-0.02932755  0.12507673  0.14862427 ... -0.0264668   0.20967363
   0.19714871]
 [-0.13484071  0.2063324   0.01585551 ... -0.01524113  0.33636558
   0.12218012]
 [-0.00639133  0.13375019 -0.08566017 ... -0.06373897  0.63559395
   0.14343795]
 [-0.0288103   0.1714042   0.15700005 ...  0.09148287  0.41016158
   0.21110381]]","Утюг с мощным паровым ударом и быстрым нагревом, но тяжёлый и с коротким шнуром."
126,"[[ 0.13151167 -0.15827645 -0.06664245 ...  0.03062762  0.10044819
   0.00096318]
 [-0.19661713  0.16157334 -0.08447009 ...  0.12101609  0.47130576
   0.07535521]
 [ 0.00084583 -0.22992827  0.22821367 ...  0.26404545 -0.01239367
  -0.1194286 ]
 [ 0.1157738   0.02232945  0.0792025  ... -0.0231067   0.11515699
   0.20696115]
 [-0.14725472 -0.06795093  0.03513752 ...  0.36295637  0.15779705
  -0.00403058]]","Видеорегистратор с хорошей записью и встроенным GPS, но плохо снимает ночью и теряет сигнал."
127,"[[ 0.0115949   0.09493595  0.12230548 ... -0.0436747   0.15442157
   0.05627612]
 [ 0.1745114   0.09417    -0.16747479 ... -0.2261257   0.43212035
  -0.1057799 ]
 [-0.4040316   0.31103358  0.14885044 ... -0.06309031  0.03993816
   0.17229576]
 [-0.0612619   0.20900388  0.17780495 ...  0.05775794  0.30160308
   0.13166821]
 [-0.0925775   0.14182071  0.28091425 ... -0.06557998  0.49890342
   0.11636458]]","Гриль с быстрым нагревом и равномерной готовкой, но сложно чистить и короткий шнур."
128,"[[-0.21451545  0.16359201  0.15817934 ...  0.05062919  0.3829097
   0.12407038]
 [-0.06666031  0.00281829 -0.1128369  ... -0.18270193  0.37039873
   0.17294124]
 [-0.06916262  0.24197616 -0.19076535 ...  0.10474347  0.18264347
   0.24345976]
 [-0.20724526  0.4977249  -0.12174511 ... -0.23188348  0.17824823
   0.04471941]
 [ 0.0656313   0.03246225  0.1948946  ... -0.04299563  0.349292
   0.07851702]]","Электробритва с острыми лезвиями и долгим зарядом, но вызывает раздражение и требует частой чистки."
